old                                      new
18bd0775ea16d52634f3b5beab8ab54c8d6a12d5 6e8ff427a7ad5c57774993cb0ed981139d68531d
18d72c940e8bf87b01b4851def19e6b56e96a57e 6c0522a5dd4b7ed9570a139d6ebb8389e089e36d
18ddb647474491b9dc4a20691c6eb902320b51c1 0000000000000000000000000000000000000000
1972dc0a29207491f11a678d83c48f1b768ad310 0000000000000000000000000000000000000000
198e592e0e84afec032f50aa3ec12b58d7642172 a6733bc2de3dc55a287b05a3bde50b6e315c256f
19a10e0bb93b3c18ae895f10afdac04f33b5d029 e6bcac68067588b536aca2cabc19667f8b9231ed
19bfba84c8bdaa6207bd226857ef3ed4d7098fa5 0000000000000000000000000000000000000000
1a302ec5b360b268ca45704bfa4a5507c6a8df94 e1ffbc6bed7706fdc07396213e1203304ee9feb7
1a456ac0012587c1808727c2e048aab27fbc7356 cb4780a201eabad6f775bff7afa31a534a7b34ae
1a509d77108df56c944ff4e40b9f94761b8d1bcc 16690c5399c9507dc474f10723f6666633d53ca5
1a76ea613032e6c93702bcb06f051f6d0432f7b2 0000000000000000000000000000000000000000
1aba8747b8f370d495c241e1f33cc391cccb1b6a b89bb5d382a23fac8e9a1c6c0b863b8257a20507
1b16b4e54c72c9fb2f072043d85286d2e03fee8b 35282fc117c4c4e343a54e61b10f19de0f1b874b
1b28b81f8bec64d9aa792003cd6776fda6293dda 849f626ae92e1529a462436367299b159d15f383
1b38f75f6b4ed2792361cda26f723cabb5926c45 0000000000000000000000000000000000000000
1b8c1b1a503b55116dee683900d0fd763501ee82 2eda61e456f6753018ad545590a3573b5fea1bdd
1b940d478cffbc21d6a979dcaffdb9c3a51337e5 fa1818dcc88353f6d1ced7ff9fecba5648e67700
1c68f4f75f2ab801876cbc28fc621aae76dbaaa9 1e7c750d74bddb9297abc43a09739159b95a3650
1cb64c123f90a1d997c9ea6c34f15ef2cb406e4b 0000000000000000000000000000000000000000
1cb867bfe3e102315ef4299954dccfec17941ba4 d3e464428a0e68181540f1ccb46aec38a180c9e5
1ccd3c1c85f4bfb26cf34640064fdd2785e81270 ab195a6ce0311fe09130a584dcd76429dbf72c7f
1cd9bffd151ec6197758f3b09ae01fb3cb2f87e8 0dd5145260be927bc9ee15cf84e5a393cc78b977
1cdc55a339f52a52d622d4a3a674b2795258f35f 28e5b3288c9b95d6580070bf5efd96701ca7bcd3
1d109b347ac9c185f5a80c61315c82fcacdf8f6a 48e377e54db7ca5ea79999ed5406fd31540ce10c
1d9780b32d36c8ecac8d53c648df534f0fdf72f8 511aec4b650b75a309f29cce6a28646520339240
1dc2363afa1195ff0ac1cc1976420abc8c06a58e b0b65dcde698ede736be26a23cc4eb3ccd87d80d
1e1022eb2fdc7c52c78edcd8cd853ed94a568e26 a970e6f112651846450fa65fd268669875823a17
1e33cb38f0baec802343448a73fe6989d35e2855 ead317aa9cd91ace957059393484962ae38568c3
1e3b722dd1b111a6dd08b4364283e68033df7769 0df842d14c34e7d28b1c454c21820769fb66521c
1e6440887772f6b43d61b3f835647efdf2d91631 6504d2a49c046a8863633baa577c5c3df9b9d0f1
20065d24ab23ae17b6051e71a59eeba5bc74acdd c27dc8239eb3010b0fd66482f02097880d5a1c43
207afe547cac06d1de0a1b728dfe24cbc19f44c7 6009f045f12d9e78115e82fee5785f5314aff3c1
